WARD,"PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES
JOSEPH R BIDEN AND KAMALA D HARRIS sum","PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES
DONALD J TRUMP AND MICHAEL R PENCE sum","PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES
JO JORGENSEN AND JEREMY SPIKE COHEN sum","PRESIDENT AND VICE-PRESIDENT OF THE UNITED STATES
Write-in sum",Registered Voters*,% turnout
1.0,7940,2169,86,35,13921,73.4861001365
2.0,13588,2102,103,60,22164,71.5258978524
3.0,9186,204,30,21,14281,66.1088159093
4.0,8833,211,40,14,14411,63.1323294705
5.0,21797,3267,182,67,42366,59.7483831374
6.0,6355,228,45,28,10657,62.4566012949
7.0,5483,1043,28,14,13051,50.3256455444
8.0,21784,3328,156,83,40167,63.1139990539
9.0,9553,908,59,39,12888,81.9289261328
10.0,12828,256,46,24,17641,74.5649339607
11.0,5663,181,23,6,10075,58.2928039702
12.0,9734,390,68,38,16101,63.5364263089
13.0,8613,291,36,15,14428,62.0668145273
14.0,4155,296,19,14,7558,59.3278645144
15.0,10420,1242,82,36,15869,74.2327808936
16.0,4413,143,20,11,8196,55.9663250366
17.0,10445,343,41,30,16118,67.3718823675
18.0,9110,1737,118,50,17488,62.9860475755
19.0,4363,680,35,12,9515,53.4944823962
20.0,3614,216,21,13,9552,40.4522613065
21.0,20310,6896,344,116,37868,73.0590472166
22.0,13450,447,87,49,18026,77.8486630423
23.0,7441,1532,63,39,15419,58.8559569362
24.0,6159,367,41,24,13773,47.8544979307
25.0,5007,2533,89,31,14263,53.7053915726
26.0,4824,5904,61,20,14515,74.4677919394
27.0,8526,688,64,51,23808,39.1843077957
28.0,4918,135,14,6,8394,60.4360257327
29.0,5661,309,42,35,9757,61.9760172184
30.0,10540,983,67,39,16995,68.4260076493
31.0,7347,1999,106,31,14851,63.8542859067
32.0,8029,310,50,28,15482,54.3663609353
33.0,6250,1641,43,15,14303,55.5757533385
34.0,17978,971,97,39,27063,70.5206370321
35.0,11163,2210,84,29,19406,69.4939709368
36.0,15523,1465,120,43,25679,66.7899840336
37.0,5155,395,24,5,9997,55.8067420226
38.0,8530,779,56,26,13912,67.5028752156
39.0,11929,7296,143,47,27540,70.4974582426
40.0,18140,1634,72,34,30645,64.8719203785
41.0,5989,2634,69,16,13305,65.4490792935
42.0,9261,1399,63,13,17182,62.4839948784
43.0,6939,634,35,13,13530,56.3266814486
44.0,6163,183,27,16,10437,61.2149084986
45.0,5133,4578,103,21,15769,62.369205403
46.0,11277,375,73,73,17078,69.0830307999
47.0,3763,211,34,18,8588,46.879366558
48.0,7844,1291,47,34,13634,67.5957165909
49.0,10391,491,58,27,16582,66.1379809432
50.0,14930,423,43,23,19606,78.6442925635
51.0,10001,304,40,28,15839,65.4902455963
52.0,12306,729,74,37,18615,70.620467365
53.0,7383,2130,55,17,13370,71.6903515333
54.0,5406,1281,47,19,9565,70.6011500261
55.0,6340,3660,100,35,13560,74.7418879056
56.0,9745,6341,116,39,22143,73.345978413
57.0,7280,5980,108,37,17595,76.1864165956
58.0,10898,12344,155,41,29224,80.2012044895
59.0,10345,381,69,36,15972,67.812421738
60.0,8823,279,47,40,14116,65.0963445735
61.0,11688,1152,82,29,18169,71.2807529308
62.0,8423,2035,81,21,16716,63.1730078966
63.0,6564,6202,102,32,15929,80.9843681336
64.0,3705,3111,44,22,9101,75.618063949
65.0,6326,4529,91,18,14735,74.4078724126
66.0,10484,12306,179,41,29177,78.8634883641
