P,Qf
3.20000,0.01699
3.60000,0.01343
4.20000,0.05543
4.40000,0.02089
4.80000,0.01637
4.80000,0.06593
5.20000,0.04527
5.60000,0.02972
5.80000,0.05149
6.40000,0.01905
7.60000,0.03184
7.80000,0.01835
7.80000,0.08768
7.80000,0.13416
8.20000,0.02127
8.80000,0.10832
9.00000,0.03263
9.20000,0.05117
9.80000,0.15334
9.80000,0.27321
10.40000,0.23789
11.20000,0.07682
11.20000,0.13384
11.80000,0.03142
12.60000,0.40222
12.80000,0.23049
12.80000,0.09664
13.00000,0.15837
13.20000,0.08303
13.60000,0.11394
15.80000,0.12569
18.20000,0.16929
19.80000,0.24325
20.00000,0.26084
20.00000,0.37800
20.40000,0.36397
32.20000,1.28725
37.20000,3.21571
41.00000,1.34630
42.60000,1.57389
53.40000,4.02473
57.80000,1.95641
58.20000,3.91921
